 시도명 , 시군구 , 사업장 수(1종) , 사업장 수(2종) , 사업장 수(3종) , 배출구 수(1종) , 배출구 수(2종) , 배출구 수(3종) , 방지시설 수(1종) , 방지시설 수(2종) , 방지시설 수(3종) , 배출시설 수(1종) , 배출시설 수(2종) , 배출시설 수(3종) 
 강원도 , 강릉시 ,2,1,4,164,1,7,176,8,14,166,4,14
 강원도 , 고성군 ,1,0,0,1,0,0,3,0,0,1,0,0
 강원도 , 동해시 ,4,2,1,184,23,19,196,21,19,249,43,23
 강원도 , 삼척시 ,2,3,2,268,28,2,270,22,4,286,47,8
 강원도 , 속초시 ,1,0,0,1,0,0,3,0,0,1,0,0
 강원도 , 양구군 ,1,0,1,1,0,4,3,0,4,1,0,4
 강원도 , 양양군 ,1,0,2,1,0,6,3,0,10,1,0,6
 강원도 , 영월군 ,8,5,2,195,30,10,236,36,15,373,96,24
 강원도 , 원주시 ,4,8,13,135,128,107,123,114,119,215,262,215
 강원도 , 인제군 ,2,0,1,4,0,1,9,0,1,6,0,1
 강원도 , 정선군 ,4,3,4,57,7,90,63,10,87,127,15,121
 강원도 , 철원군 ,1,3,0,1,8,0,2,12,0,1,15,0
 강원도 , 춘천시 ,2,0,3,5,0,49,23,0,49,5,0,67
 강원도 , 태백시 ,1,2,0,1,4,0,5,7,0,2,5,0
 강원도 , 평창군 ,2,1,2,28,1,7,37,17,2,65,831,11
 강원도 , 홍천군 ,3,2,2,27,108,16,32,82,18,65,108,23
 강원도 , 화천군 ,1,1,0,1,3,0,3,5,0,1,5,0
 강원도 , 횡성군 ,1,4,5,1,84,67,4,81,37,1,99,93
 경기도 , 가평군 ,2,0,0,15,0,0,30,0,0,24,0,0
 경기도 , 고양시덕양구 ,3,1,2,14,16,2,22,17,2,16,17,3
 경기도 , 고양시일산동구 ,2,1,0,14,1,0,12,1,0,14,1,0
 경기도 , 과천시 ,1,0,0,6,0,0,7,0,0,6,0,0
 경기도 , 광명시 ,3,0,0,97,0,0,75,0,0,119,0,0
 경기도 , 광주시 ,4,2,1,10,16,2,17,18,12,13,21,12
 경기도 , 구리시 ,2,0,0,6,0,0,11,0,0,10,0,0
 경기도 , 군포시 ,2,3,1,47,29,25,37,24,27,194,89,29
 경기도 , 김포시 ,2,1,13,10,22,88,22,16,87,23,58,182
 경기도 , 남양주시 ,3,0,1,13,0,7,18,0,7,17,0,9
 경기도 , 동두천시 ,3,6,7,10,35,20,28,38,24,10,47,31
 경기도 , 부천시소사구 ,0,0,1,0,0,18,0,0,17,0,0,30
 경기도 , 부천시오정구 ,4,2,1,37,13,13,53,16,13,47,82,13
 경기도 , 부천시원미구 ,0,0,1,0,0,122,0,0,215,0,0,918
 경기도 , 성남시분당구 ,3,1,1,27,5,1,34,0,2,26,9,2
 경기도 , 성남시수정구 ,0,0,2,0,0,6,0,0,0,0,0,7
 경기도 , 성남시중원구 ,2,2,5,8,84,28,16,40,28,8,91,279
 경기도 , 수원시영통구 ,5,1,2,62,33,42,46,37,39,115,666,176
 경기도 , 수원시장안구 ,1,1,1,48,1,13,22,2,12,49,2,27
 경기도 , 수원시팔달구 ,1,0,0,1,0,0,20,0,0,57,0,0
 경기도 , 시흥시 ,10,17,31,146,364,236,187,368,250,477,1040,727
 경기도 , 안산시단원구 ,33,50,89,346,640,732,477,644,807,1303,7384,4604
 경기도 , 안산시상록구 ,1,1,1,35,17,9,44,7,29,94,18,29
 경기도 , 안성시 ,8,9,17,123,89,220,118,97,237,199,166,843
 경기도 , 안양시동안구 ,2,3,0,12,28,0,18,23,0,9,78,0
 경기도 , 안양시만안구 ,2,2,1,11,20,1,14,40,4,11,64,5
 경기도 , 양주시 ,17,13,26,51,64,165,120,93,192,70,92,483
 경기도 , 양평군 ,1,0,0,1,0,0,6,0,0,2,0,0
 경기도 , 여주시 ,5,5,13,168,46,85,201,50,89,332,177,139
 경기도 , 연천군 ,6,2,6,15,5,27,33,10,35,19,8,50
 경기도 , 오산시 ,4,3,1,14,77,4,27,85,4,14,435,44
 경기도 , 용인시기흥구 ,4,2,1,152,21,15,203,21,13,1177,94,211
 경기도 , 용인시수지구 ,2,0,0,6,0,0,13,0,0,7,0,0
 경기도 , 용인시처인구 ,6,6,4,38,174,53,58,239,46,57,456,129
 경기도 , 의왕시 ,1,0,3,19,0,10,23,0,14,40,0,190
 경기도 , 의정부시 ,1,0,0,2,0,0,6,0,0,2,0,0
 경기도 , 이천시 ,10,4,2,351,73,28,398,50,23,856,97,36
 경기도 , 파주시 ,10,6,11,149,59,54,258,70,45,710,1112,117
 경기도 , 평택시 ,21,21,29,613,477,392,593,491,302,4132,2461,2053
 경기도 , 포천시 ,18,6,11,83,31,51,146,47,52,110,31,98
 경기도 , 하남시 ,3,0,0,8,0,0,14,0,0,16,0,0
 경기도 , 화성시 ,16,10,30,764,167,306,2460,159,344,5148,520,1962
 경상남도 , 거제시 ,6,1,2,222,3,12,215,4,18,352,3,34
 경상남도 , 거창군 ,1,1,1,1,5,1,4,7,3,1,7,4
 경상남도 , 고성군 ,9,3,4,169,20,29,217,30,53,202,19,57
 경상남도 , 김해시 ,12,34,52,94,361,411,115,430,380,183,622,831
 경상남도 , 밀양시 ,2,8,11,6,96,172,9,87,195,6,175,216
 경상남도 , 사천시 ,3,10,14,128,221,98,147,225,96,172,523,138
 경상남도 , 산청군 ,1,2,2,1,18,4,4,22,6,1,24,8
 경상남도 , 양산시 ,13,34,28,286,628,255,220,595,347,1177,1899,705
 경상남도 , 의령군 ,1,1,9,1,1,67,5,3,69,1,2,67
 경상남도 , 진주시 ,5,10,12,22,87,102,26,86,123,24,125,202
 경상남도 , 창녕군 ,3,5,7,86,20,29,67,20,33,125,31,48
 경상남도 , 창원시마산합포구 ,3,2,2,8,15,26,15,18,16,8,21,32
 경상남도 , 창원시마산회원구 ,1,2,6,5,14,64,12,25,51,6,44,114
 경상남도 , 창원시성산구 ,17,30,19,1321,878,494,908,622,281,2194,3045,741
 경상남도 , 창원시의창구 ,4,5,7,226,142,48,217,112,35,423,218,170
 경상남도 , 창원시진해구 ,13,6,12,208,51,115,219,52,103,430,65,145
 경상남도 , 통영시 ,4,1,0,37,4,0,43,4,0,41,1,0
 경상남도 , 하동군 ,3,2,6,100,25,39,120,17,77,211,40,54
 경상남도 , 함안군 ,14,11,26,126,125,160,146,135,152,400,145,328
 경상남도 , 함양군 ,1,2,2,1,43,15,3,42,16,1,56,35
 경상남도 , 합천군 ,1,0,3,1,0,14,4,0,15,1,0,14
 경상북도 , 경산시 ,6,4,17,103,50,123,89,45,124,347,127,203
 경상북도 , 경주시 ,12,5,27,420,30,187,347,45,278,1050,60,619
 경상북도 , 고령군 ,4,24,37,32,244,289,43,244,243,138,419,410
 경상북도 , 구미시 ,21,34,15,901,732,107,1049,720,152,5651,2749,938
 경상북도 , 군위군 ,0,2,2,0,22,9,0,23,13,0,84,11
 경상북도 , 김천시 ,6,8,14,288,85,158,251,113,99,748,1110,528
 경상북도 , 문경시 ,2,1,1,6,1,6,16,3,8,12,1,6
 경상북도 , 봉화군 ,2,2,2,241,7,10,207,11,13,808,16,12
 경상북도 , 상주시 ,2,2,4,7,8,22,10,17,21,11,21,24
 경상북도 , 성주군 ,2,0,2,11,0,11,14,0,13,67,0,14
 경상북도 , 안동시 ,4,2,2,13,56,13,22,56,12,24,159,20
 경상북도 , 영덕군 ,1,0,3,1,0,27,3,0,31,1,0,49
 경상북도 , 영양군 ,0,1,0,0,1,0,0,4,0,0,1,0
 경상북도 , 영주시 ,2,1,4,29,6,19,28,8,32,65,6,35
 경상북도 , 영천시 ,5,3,9,61,21,73,88,15,74,382,24,152
 경상북도 , 예천군 ,0,1,2,0,13,21,0,4,24,0,17,69
 경상북도 , 울릉군 ,1,0,0,1,0,0,2,0,0,1,0,0
 경상북도 , 울진군 ,2,1,1,2,1,2,6,3,4,2,1,3
 경상북도 , 의성군 ,1,0,0,1,0,0,3,0,0,1,0,0
 경상북도 , 청도군 ,1,0,1,1,0,9,4,0,1,1,0,9
 경상북도 , 칠곡군 ,4,5,11,23,85,107,29,90,66,425,328,303
 경상북도 , 포항시남구 ,37,31,25,2122,461,256,1570,428,255,4232,1085,485
 경상북도 , 포항시북구 ,2,5,13,12,59,84,11,87,85,17,454,355
 광주광역시 , 광산구 ,7,17,23,249,166,169,238,175,167,608,358,615
 광주광역시 , 남구 ,2,1,1,5,2,1,16,0,1,14,2,2
 광주광역시 , 동구 ,0,1,2,0,2,17,0,8,25,0,8,28
 광주광역시 , 북구 ,2,3,4,47,37,57,44,56,35,104,297,102
 광주광역시 , 서구 ,4,1,0,142,5,0,148,3,0,206,6,0
 대구광역시 , 남구 ,0,1,1,0,1,1,0,0,0,0,1,1
 대구광역시 , 달서구 ,5,6,18,67,50,130,115,50,197,81,154,588
 대구광역시 , 달성군 ,12,20,18,274,281,322,272,228,219,1285,1650,798
 대구광역시 , 동구 ,1,0,0,2,0,0,1,0,0,3,0,0
 대구광역시 , 북구 ,1,3,4,21,24,24,18,24,30,19,42,206
 대구광역시 , 서구 ,2,3,12,16,28,53,31,33,60,22,72,100
 대구광역시 , 수성구 ,0,0,1,0,0,3,0,0,3,0,0,3
 대구광역시 , 중구 ,0,1,0,0,1,0,0,0,0,0,1,0
 대전광역시 , 대덕구 ,8,18,15,195,221,122,243,238,134,471,669,542
 대전광역시 , 유성구 ,3,5,4,24,22,87,35,35,98,35,62,198
 대전광역시 , 중구 ,0,1,3,0,4,18,0,5,21,0,14,28
 부산광역시 , 강서구 ,13,18,51,513,172,386,346,205,367,2171,531,905
 부산광역시 , 금정구 ,1,2,1,44,40,5,52,53,10,357,107,19
 부산광역시 , 기장군 ,1,2,7,2,26,61,2,27,88,2,33,129
 부산광역시 , 남구 ,1,1,3,61,19,30,36,20,30,113,274,97
 부산광역시 , 동구 ,0,0,2,0,0,44,0,0,58,0,0,315
 부산광역시 , 부산진구 ,0,0,1,0,0,1,0,0,1,0,0,13
 부산광역시 , 사상구 ,2,8,10,37,73,102,41,63,105,50,468,375
 부산광역시 , 사하구 ,10,16,25,190,143,121,200,133,144,634,204,329
 부산광역시 , 서구 ,0,1,0,0,6,0,0,6,0,0,9,0
 부산광역시 , 수영구 ,1,0,0,4,0,0,16,0,0,4,0,0
 부산광역시 , 연제구 ,0,0,1,0,0,11,0,0,11,0,0,11
 부산광역시 , 영도구 ,0,2,0,0,14,0,0,13,0,0,16,0
 부산광역시 , 해운대구 ,2,3,2,5,30,5,4,39,5,5,152,5
 서울특별시 , 강남구 ,3,2,2,15,11,4,22,9,0,19,32,10
 서울특별시 , 강동구 ,0,1,2,0,2,14,0,12,14,0,14,22
 서울특별시 , 강서구 ,1,2,0,9,2,0,17,3,0,12,2,0
 서울특별시 , 관악구 ,0,1,0,0,36,0,0,29,0,0,56,0
 서울특별시 , 구로구 ,0,1,1,0,2,43,0,1,43,0,5,46
 서울특별시 , 노원구 ,2,0,0,8,0,0,32,0,0,8,0,0
 서울특별시 , 동대문구 ,0,0,1,0,0,1,0,0,0,0,0,5
 서울특별시 , 마포구 ,4,0,0,15,0,0,28,0,0,16,0,0
 서울특별시 , 서대문구 ,0,1,1,0,4,17,0,16,25,0,17,45
 서울특별시 , 서초구 ,0,1,1,0,3,1,0,0,0,0,3,2
 서울특별시 , 성동구 ,0,1,0,0,4,0,0,19,0,0,11,0
 서울특별시 , 송파구 ,1,3,0,3,16,0,0,18,0,3,31,0
 서울특별시 , 양천구 ,2,0,0,6,0,0,10,0,0,11,0,0
 서울특별시 , 영등포구 ,0,1,0,0,4,0,0,19,0,0,19,0
 서울특별시 , 용산구 ,0,0,1,0,0,4,0,0,8,0,0,8
 서울특별시 , 은평구 ,1,0,0,1,0,0,3,0,0,1,0,0
 서울특별시 , 종로구 ,0,1,1,0,5,1,0,11,3,0,13,3
 서울특별시 , 중구 ,0,0,2,0,0,6,0,0,5,0,0,32
 세종특별자치시 , 세종시 ,13,13,9,197,309,63,196,311,75,353,1494,214
 울산광역시 , 남구 ,59,17,19,2639,425,254,2212,411,254,8818,1249,1226
 울산광역시 , 동구 ,7,1,2,541,21,55,542,18,13,3289,28,58
 울산광역시 , 북구 ,2,1,4,1330,10,19,535,2,18,1448,10,24
 울산광역시 , 울주군 ,34,27,31,1431,610,263,1426,361,287,3708,1752,597
 인천광역시 , 강화군 ,0,0,2,0,0,10,0,0,9,0,0,32
 인천광역시 , 계양구 ,0,0,1,0,0,6,0,0,16,0,0,13
 인천광역시 , 남동구 ,6,9,40,43,86,277,59,84,269,114,285,800
 인천광역시 , 동구 ,3,1,3,118,21,37,123,21,32,191,44,55
 인천광역시 , 미추홀구 ,3,3,3,48,30,42,53,13,40,120,37,177
 인천광역시 , 부평구 ,3,0,3,179,0,9,204,0,9,234,0,174
 인천광역시 , 서구 ,34,19,28,427,240,165,503,241,182,769,672,438
 인천광역시 , 연수구 ,5,2,3,86,81,13,44,33,5,255,258,31
 인천광역시 , 옹진군 ,2,2,1,123,2,1,141,4,2,141,2,1
 인천광역시 , 중구 ,14,5,2,343,87,18,429,106,16,1668,433,27
 전라남도 , 강진군 ,1,1,2,1,3,12,2,4,13,1,5,12
 전라남도 , 고흥군 ,2,0,3,2,0,5,6,0,7,2,0,12
 전라남도 , 곡성군 ,1,1,1,57,2,3,67,3,4,57,2,5
 전라남도 , 광양시 ,26,10,7,1468,73,57,1161,77,66,2388,287,126
 전라남도 , 구례군 ,1,0,0,3,0,0,5,0,0,3,0,0
 전라남도 , 나주시 ,4,3,6,218,59,20,196,25,28,631,90,38
 전라남도 , 담양군 ,2,1,3,5,1,18,10,2,18,7,2,24
 전라남도 , 목포시 ,0,3,1,0,8,2,0,17,1,0,18,3
 전라남도 , 무안군 ,3,2,2,9,8,4,14,9,6,10,15,13
 전라남도 , 보성군 ,1,0,3,2,0,22,5,0,32,2,0,27
 전라남도 , 순천시 ,5,4,7,143,27,46,74,21,33,307,36,58
 전라남도 , 신안군 ,0,1,4,0,2,4,0,2,5,0,2,5
 전라남도 , 여수시 ,45,15,12,2979,255,65,1836,273,75,14109,1296,610
 전라남도 , 영광군 ,2,0,2,4,0,2,9,0,3,6,0,4
 전라남도 , 영암군 ,13,8,20,256,26,88,234,29,98,385,33,176
 전라남도 , 완도군 ,1,1,3,1,1,3,3,3,3,1,4,3
 전라남도 , 장성군 ,2,4,3,47,28,9,54,33,13,58,52,16
 전라남도 , 장흥군 ,2,0,2,3,0,15,13,0,13,3,0,39
 전라남도 , 진도군 ,1,0,2,1,0,4,3,0,5,1,0,5
 전라남도 , 함평군 ,1,2,2,4,7,9,4,9,9,9,12,41
 전라남도 , 해남군 ,1,1,3,1,3,10,4,3,10,1,12,15
 전라남도 , 화순군 ,0,4,2,0,20,201,0,28,5,0,22,205
 전라북도 , 고창군 ,0,3,2,0,9,3,0,13,1,0,16,3
 전라북도 , 군산시 ,33,18,23,1026,152,171,1255,171,183,4641,806,514
 전라북도 , 김제시 ,4,9,13,116,55,111,119,55,114,159,70,261
 전라북도 , 남원시 ,0,4,2,0,13,6,0,18,7,0,20,7
 전라북도 , 무주군 ,0,2,2,0,4,9,0,10,4,0,9,25
 전라북도 , 부안군 ,0,3,4,0,19,18,0,32,21,0,47,31
 전라북도 , 순창군 ,0,4,1,0,43,3,0,22,3,0,62,4
 전라북도 , 완주군 ,11,13,14,618,156,178,563,193,189,1513,940,847
 전라북도 , 익산시 ,13,19,15,398,167,135,501,209,177,912,553,840
 전라북도 , 임실군 ,1,1,1,25,3,4,14,5,4,27,5,4
 전라북도 , 장수군 ,1,1,0,1,7,0,3,9,0,1,12,0
 전라북도 , 전주시덕진구 ,11,7,5,568,66,42,294,70,34,1735,346,152
 전라북도 , 전주시완산구 ,2,0,1,12,0,6,22,0,12,25,0,6
 전라북도 , 정읍시 ,3,13,8,48,130,73,53,137,72,101,240,104
 전라북도 , 진안군 ,0,1,1,0,3,4,0,5,6,0,5,7
 제주특별자치도 , 서귀포시 ,3,0,2,15,0,2,26,0,4,13,0,6
 제주특별자치도 , 제주시 ,5,2,2,30,3,14,52,6,15,27,4,14
 충청남도 , 계룡시 ,1,0,0,1,0,0,3,0,0,1,0,0
 충청남도 , 공주시 ,2,4,8,12,34,84,14,64,92,12,388,276
 충청남도 , 금산군 ,2,1,6,112,2,20,251,5,26,1105,4,29
 충청남도 , 논산시 ,4,3,6,84,54,22,98,59,36,223,119,37
 충청남도 , 당진군 ,1,0,0,21,0,0,21,0,0,30,0,0
 충청남도 , 당진시 ,21,21,23,687,247,324,644,236,266,1886,623,1244
 충청남도 , 보령시 ,6,3,3,141,83,32,167,54,37,237,357,59
 충청남도 , 부여군 ,3,1,4,29,25,15,43,45,20,75,172,22
 충청남도 , 서산시 ,27,6,16,1172,37,114,864,44,88,3656,240,506
 충청남도 , 서천군 ,3,5,7,41,69,38,47,62,52,51,119,145
 충청남도 , 아산시 ,18,21,21,815,295,207,790,272,180,3998,1255,395
 충청남도 , 예산군 ,8,3,12,47,17,182,79,25,152,104,49,379
 충청남도 , 천안시동남구 ,9,11,14,84,85,172,125,104,171,431,200,390
 충청남도 , 천안시서북구 ,14,11,15,236,301,265,251,311,213,1063,1478,1174
 충청남도 , 청양군 ,2,4,0,28,39,0,38,43,0,100,65,0
 충청남도 , 태안군 ,2,1,2,179,3,6,203,8,10,315,16,10
 충청남도 , 홍성군 ,3,2,7,18,72,57,8,71,65,18,176,115
 충청북도 , 괴산군 ,1,7,1,1,31,11,3,33,13,1,55,40
 충청북도 , 단양군 ,8,6,3,356,34,6,394,43,7,634,66,15
 충청북도 , 보은군 ,1,3,1,1,80,51,5,47,52,2,118,108
 충청북도 , 영동군 ,3,6,2,38,72,10,51,73,13,207,149,14
 충청북도 , 옥천군 ,1,5,0,1,65,0,3,61,0,1,75,0
 충청북도 , 음성군 ,6,22,33,132,271,298,138,267,303,325,746,1078
 충청북도 , 제천시 ,2,4,5,83,36,32,90,29,33,119,43,55
 충청북도 , 증평군 ,1,5,3,48,80,38,45,61,24,155,237,140
 충청북도 , 진천군 ,5,21,21,124,307,261,263,254,222,807,992,1015
 충청북도 , 청주시상당구 ,1,0,0,83,0,0,104,0,0,357,0,0
 충청북도 , 청주시서원구 ,2,2,1,35,9,13,33,10,19,66,11,79
 충청북도 , 청주시청원구 ,5,9,9,62,106,111,74,81,101,407,329,789
 충청북도 , 청주시흥덕구 ,20,33,11,1283,1321,120,713,548,122,6487,3072,185
 충청북도 , 충주시 ,8,17,16,91,296,149,85,277,151,275,1131,352
